Time,Connected,PIR,Temp,Photo,Sleep,Lightover,Fanover
1406593140,1,1,79,150,0,0,0
1406593157,1,1,79,150,0,0,0
1406593175,1,1,79,149,0,0,0
1406593207,1,1,79,150,0,0,0
1406593224,1,1,79,150,0,0,0
1406593242,1,1,79,151,0,0,0
1406593260,1,1,79,150,0,0,0
1406593277,1,1,79,151,0,0,0
1406593295,1,1,79,150,0,0,0
1406593312,1,1,79,150,0,0,0
1406593330,1,1,79,151,0,0,0
1406593347,1,1,79,151,0,0,0
1406593365,1,1,79,150,0,0,0
1406593383,1,1,79,150,0,0,0
1406593400,1,1,79,150,0,0,0
1406593418,1,1,79,150,0,0,0
1406593435,1,1,79,151,0,0,0
1406593453,1,1,79,150,0,0,0
1406593470,1,1,79,150,0,0,0
1406593488,1,1,79,150,0,0,0
1406593505,1,1,79,150,0,0,0
1406593523,1,1,79,150,0,0,0
1406593541,1,1,79,150,0,0,0
1406593558,1,1,79,151,0,0,0
1406593576,1,1,79,150,0,0,0
1406593593,1,1,79,150,0,0,0
1406593611,1,1,79,150,0,0,0
1406593628,1,1,79,149,0,0,0
1406593646,1,1,79,150,0,0,0
1406593664,1,1,79,150,0,0,0
1406593681,1,1,79,151,0,0,0
1406593699,1,1,79,151,0,0,0
1406593716,1,1,79,151,0,0,0
1406593734,1,1,79,151,0,0,0
1406593751,1,1,79,149,0,0,0
1406593769,1,1,79,150,0,0,0
1406593786,1,1,79,150,0,0,0
1406593804,1,1,79,151,0,0,0
1406593822,1,1,79,150,0,0,0
1406593839,1,1,79,151,0,0,0
1406593857,1,1,79,150,0,0,0
1406593874,1,1,79,150,0,0,0
1406593892,1,1,79,150,0,0,0
1406593909,1,1,79,151,0,0,0
1406593927,1,1,79,150,0,0,0
1406593945,1,1,79,150,0,0,0
1406593962,1,1,79,150,0,0,0
1406593980,1,1,79,150,0,0,0
1406593997,1,1,79,150,0,0,0
1406594015,1,1,79,150,0,0,0
1406594032,1,1,79,150,0,0,0
1406594050,1,1,79,151,0,0,0
1406594068,1,1,79,151,0,0,0
1406594085,1,1,79,151,0,0,0
1406594103,1,1,79,150,0,0,0
1406594120,1,1,79,151,0,0,0
1406594138,1,1,79,150,0,0,0
1406594155,1,1,79,151,0,0,0
1406594173,1,1,79,150,0,0,0
1406594190,1,1,79,149,0,0,0
1406594208,1,1,79,150,0,0,0
1406594226,1,1,79,150,0,0,0
1406594243,1,1,79,150,0,0,0
1406594261,1,1,79,107,0,0,0
1406594278,1,1,79,107,0,0,0
1406594296,1,1,79,108,0,0,0
1406594313,1,1,79,108,0,0,0
1406594331,1,1,79,109,0,0,0
1406594349,1,1,79,108,0,0,0
1406594366,1,1,79,108,0,0,0
1406594384,1,1,79,108,0,0,0
1406594401,1,1,79,109,0,0,0
1406594419,1,1,80,108,0,0,0
1406594436,1,1,80,108,0,0,0
1406594454,1,1,80,109,0,0,0
1406594471,1,0,80,109,0,0,0
1406594489,1,0,80,109,0,0,0
1406594507,1,1,80,108,0,0,0
1406594524,1,1,80,109,0,0,0
1406594542,1,1,80,109,0,0,0
1406594559,1,1,80,109,0,0,0
1406594577,1,1,80,109,0,0,0
1406594594,1,1,80,109,0,0,0
1406594612,1,1,80,108,0,0,0
1406594630,1,1,80,109,0,0,0
1406594647,1,1,80,108,0,0,0
1406594665,1,1,80,109,0,0,0
1406594682,1,1,80,108,0,0,0
1406594700,1,1,80,108,0,0,0
1406594717,1,1,80,108,0,0,0
1406594735,1,1,80,108,0,0,0
1406594752,1,1,80,108,0,0,0
1406594770,1,1,80,108,0,0,0
1406594788,1,1,80,107,0,0,0
1406594805,1,1,80,107,0,0,0
1406594823,1,1,80,107,0,0,0
1406594840,1,0,80,108,0,0,0
1406594858,1,0,79,107,0,0,0
1406594875,1,1,79,109,0,0,0
1406594893,1,1,80,109,0,0,0
1406594911,1,1,80,108,0,0,0
1406594928,1,1,79,108,0,0,0
1406594946,1,1,79,108,0,0,0
1406594963,1,1,80,107,0,0,0
1406594981,1,1,80,108,0,0,0
1406594998,1,1,80,108,0,0,0
1406595016,1,1,80,107,0,0,0
1406595033,1,1,80,108,0,0,0
1406595051,1,1,80,108,0,0,0
1406595069,1,1,80,109,0,0,0
1406595086,1,1,80,108,0,0,0
1406595104,1,1,80,109,0,0,0
1406595121,1,1,80,108,0,0,0
1406595139,1,1,80,108,0,0,0
1406595156,1,1,80,108,0,0,0
1406595174,1,1,80,108,0,0,0
1406595192,1,1,80,108,0,0,0
1406595209,1,1,80,109,0,0,0
1406595227,1,1,80,109,0,0,0
1406595244,1,1,80,108,0,0,0
1406595262,1,1,80,108,0,0,0
1406595279,1,1,80,108,0,0,0
1406595297,1,1,80,109,0,0,0
1406595314,1,1,80,108,0,0,0
1406595332,1,1,80,108,0,0,0
1406595350,1,1,80,108,0,0,0
1406595367,1,1,80,108,0,0,0
1406595385,1,1,80,109,0,0,0
1406595402,1,1,80,109,0,0,0
1406595420,1,1,80,108,0,0,0
1406595437,1,1,80,109,0,0,0
1406595455,1,1,80,108,0,0,0
1406595473,1,1,80,108,0,0,0
1406595490,1,1,80,108,0,0,0
1406595508,1,1,80,108,0,0,0
1406595525,1,1,80,109,0,0,0
1406595543,1,1,80,109,0,0,0
1406595560,1,1,80,109,0,0,0
1406595578,1,1,80,109,0,0,0
1406595595,1,1,80,109,0,0,0
1406595613,1,1,80,109,0,0,0
1406595631,1,1,80,108,0,0,0
1406595648,1,1,80,108,0,0,0
1406595666,1,1,80,108,0,0,0
1406595683,1,1,80,109,0,0,0
1406595701,1,1,80,108,0,0,0
1406595718,1,1,80,106,0,0,0
1406595736,1,1,80,108,0,0,0
1406595754,1,1,80,109,0,0,0
1406595771,1,1,80,108,0,0,0
1406595789,1,1,80,109,0,0,0
1406595806,1,1,80,109,0,0,0
1406595824,1,1,80,108,0,0,0
1406595841,1,1,80,108,0,0,0
1406595859,1,1,80,108,0,0,0
1406595877,1,1,80,107,0,0,0
1406595894,1,1,80,107,0,0,0
1406595912,1,1,80,108,0,0,0
1406595929,1,1,80,104,0,0,0
1406595947,1,1,80,105,0,0,0
1406595964,1,1,80,104,0,0,0
1406595982,1,1,80,104,0,0,0
1406595999,1,1,80,104,0,0,0
1406596017,1,1,80,104,0,0,0
1406596035,1,1,80,104,0,0,0
1406596052,1,1,80,104,0,0,0
1406596070,1,1,80,104,0,0,0
1406596087,1,1,80,104,0,0,0
1406596105,1,1,80,105,0,0,0
1406596122,1,1,80,105,0,0,0
1406596140,1,1,80,104,0,0,0
1406596158,1,1,80,104,0,0,0
1406596175,1,1,80,104,0,0,0
1406596193,1,1,80,104,0,0,0
1406596210,1,1,80,105,0,0,0
1406596228,1,1,80,105,0,0,0
1406596245,1,1,80,104,0,0,0
1406596263,1,1,80,104,0,0,0
1406596280,1,1,80,104,0,0,0
1406596298,1,1,80,104,0,0,0
1406596316,1,1,80,106,0,0,0
1406596333,1,1,80,106,0,0,0
1406596351,1,1,80,106,0,0,0
1406596368,1,1,80,106,0,0,0
1406596386,1,1,80,107,0,0,0
1406596403,1,1,80,106,0,0,0
1406596421,1,1,80,106,0,0,0
1406596439,1,1,80,106,0,0,0
1406596456,1,1,80,107,0,0,0
1406596474,1,1,80,106,0,0,0
1406596491,1,1,80,106,0,0,0
1406596509,1,1,80,106,0,0,0
1406596526,1,1,80,107,0,0,0
1406596544,1,1,80,106,0,0,0
1406596561,1,1,80,107,0,0,0
1406596579,1,1,80,107,0,0,0
1406596597,1,1,80,105,0,0,0
1406596614,1,1,80,106,0,0,0
1406596632,1,1,80,107,0,0,0
1406596649,1,1,80,105,0,0,0
1406598208,1,1,79,107,0,0,0
1406598226,1,1,80,108,0,0,0
1406598243,1,1,79,108,0,0,0
1406598261,1,1,79,108,0,0,0
1406598279,1,1,79,107,0,0,0
1406598296,1,1,79,108,0,0,0
1406598314,1,1,79,108,0,0,0
1406598331,1,1,79,108,0,0,0
1406598349,1,1,79,108,0,0,0
1406598366,1,1,79,108,0,0,0
1406598384,1,1,79,107,0,0,0
1406598401,1,1,79,107,0,0,0
1406598419,1,1,80,107,0,0,0
1406598437,1,1,79,108,0,0,0
1406598454,1,1,79,107,0,0,0
1406598472,1,1,79,107,0,0,0
1406598489,1,1,79,108,0,0,0
1406598507,1,1,79,108,0,0,0
1406598524,1,1,79,107,0,0,0
1406598542,1,1,79,107,0,0,0
1406598560,1,1,79,107,0,0,0
1406598577,1,1,79,108,0,0,0
1406598595,1,1,79,108,0,0,0
1406598612,1,1,79,107,0,0,0
1406598630,1,1,79,108,0,0,0
1406598647,1,1,79,108,0,0,0
1406598665,1,1,79,108,0,0,0
1406598683,1,1,80,108,0,0,0
1406598700,1,1,80,108,0,0,0
1406598718,1,1,80,108,0,0,0
1406598735,1,1,79,108,0,0,0
1406598753,1,1,80,107,0,0,0
1406598770,1,1,80,107,0,0,0
1406598788,1,1,79,108,0,0,0
1406598805,1,1,79,108,0,0,0
1406598823,1,1,79,108,0,0,0
1406598841,1,1,80,109,0,0,0
1406598858,1,1,80,108,0,0,0
1406598876,1,1,80,108,0,0,0
1406598893,1,1,80,108,0,0,0
1406598911,1,1,80,108,0,0,0
1406598928,1,1,80,109,0,0,0
1406598946,1,1,80,108,0,0,0
1406598964,1,1,80,108,0,0,0
1406598981,1,1,80,107,0,0,0
1406598999,1,1,79,108,0,0,0
1406599016,1,1,79,108,0,0,0
1406599034,1,1,79,107,0,0,0
1406599051,1,1,79,107,0,0,0
1406599069,1,1,79,107,0,0,0
1406599086,1,1,79,106,0,0,0
1406599104,1,1,79,107,0,0,0
1406599122,1,1,79,107,0,0,0
1406599139,1,1,79,106,0,0,0
1406599157,1,1,79,107,0,0,0
1406599174,1,1,79,107,0,0,0
1406599192,1,1,79,107,0,0,0
1406599209,1,1,79,106,0,0,0
1406599227,1,1,79,106,0,0,0
1406599245,1,1,79,106,0,0,0
1406599262,1,1,79,106,0,0,0
1406599280,1,1,79,106,0,0,0
1406599297,1,1,79,106,0,0,0
1406599315,1,1,79,108,0,0,0
1406599332,1,1,79,107,0,0,0
1406599350,1,1,79,107,0,0,0
1406599367,1,1,79,106,0,0,0
1406599385,1,1,79,107,0,0,0
1406599403,1,1,79,106,0,0,0
1406599420,1,1,79,107,0,0,0
1406599438,1,1,80,107,0,0,0
1406599455,1,1,79,108,0,0,0
1406599473,1,1,79,107,0,0,0
1406599491,1,1,80,4,1,0,0
1406599508,1,1,80,5,1,0,0
1406599526,1,1,80,5,1,0,0
1406599544,1,1,80,108,0,0,0
1406599562,1,1,80,106,0,0,0
1406599579,1,1,79,107,0,0,0
1406599597,1,1,79,107,0,0,0
1406599614,1,1,79,108,0,0,0
1406599632,1,1,79,107,0,0,0
1406599649,1,1,80,107,0,0,0
1406599667,1,1,80,107,0,0,0
1406599685,1,1,80,107,0,0,0
1406599702,1,1,80,108,0,0,0
1406599720,1,1,80,108,0,0,0
1406599737,1,1,80,107,0,0,0
1406599755,1,1,80,106,0,0,0
1406599772,1,1,80,107,0,0,0
1406599790,1,1,80,107,0,0,0
1406599808,1,1,80,107,0,0,0
1406599825,1,1,80,107,0,0,0
1406599843,1,1,80,108,0,0,0
1406599860,1,1,80,106,0,0,0
1406599878,1,1,80,106,0,0,0
1406599895,1,1,80,107,0,0,0
1406599913,1,1,80,107,0,0,0
1406599930,1,1,80,106,0,0,0
1406599948,1,1,80,107,0,0,0
1406599966,1,1,80,107,0,0,0
1406599983,1,1,80,107,0,0,0
1406600001,1,1,80,106,0,0,0
1406600018,1,1,80,107,0,0,0
1406600036,1,1,80,107,0,0,0
1406600053,1,1,80,108,0,0,0
1406600071,1,1,80,108,0,0,0
1406600089,1,1,80,108,0,0,0
1406600106,1,1,80,107,0,0,0
1406600124,1,1,80,107,0,0,0
1406600141,1,1,80,107,0,0,0
1406600159,1,1,80,107,0,0,0
1406600176,1,1,80,107,0,0,0
1406600194,1,1,80,107,0,0,0
1406600211,1,1,80,107,0,0,0
1406600229,1,1,80,108,0,0,0
1406600247,1,1,80,107,0,0,0
1406600264,1,1,80,107,0,0,0
1406600282,1,1,80,107,0,0,0
1406600299,1,1,80,107,0,0,0
1406600317,1,1,80,107,0,0,0
1406600334,1,1,80,84,0,0,0
1406600352,1,1,80,108,0,0,0
1406600370,1,1,80,106,0,0,0
1406600387,1,1,80,108,0,0,0
1406600405,1,1,80,108,0,0,0
1406600422,1,1,80,107,0,0,0
1406600440,1,1,80,108,0,0,0
1406600457,1,1,79,108,0,0,0
1406600475,1,1,79,108,0,0,0
1406600492,1,1,79,108,0,0,0
1406600510,1,1,79,108,0,0,0
1406600528,1,1,79,109,0,0,0
1406600545,1,1,79,108,0,0,0
1406600563,1,1,79,109,0,0,1
1406600581,1,1,79,108,0,0,1
1406600599,1,1,78,6,1,0,1
1406600616,1,1,78,5,1,0,1
1406600634,1,1,78,106,0,0,1
1406600652,1,1,78,107,0,0,1
1406600670,1,1,78,109,0,0,1
1406600688,1,1,78,108,0,0,0
1406600705,1,1,78,108,0,0,0
1406600723,1,1,78,4,1,0,0
1406600741,1,1,78,4,1,0,0
1406600759,1,1,78,109,0,0,0
1406600776,1,1,78,109,0,0,0
1406600795,1,1,78,108,0,0,0
1406600813,1,1,78,108,0,0,0
1406600830,1,1,78,108,0,0,0
1406600848,1,1,78,107,0,0,1
1406600866,1,1,77,107,0,0,1
1406600883,1,1,77,107,0,0,1
1406600901,1,1,77,108,0,0,1
1406600919,1,1,77,107,0,0,1
1406600936,1,1,77,108,0,0,1
1406600954,1,1,77,108,0,0,1
1406600971,1,1,77,108,0,0,1
1406600989,1,1,77,108,0,0,1
1406601006,1,1,77,107,0,0,1
1406601024,1,1,77,107,0,0,1
1406601041,1,1,77,107,0,0,1
1406601059,1,1,77,107,0,0,1
1406601077,1,1,77,108,0,0,1
1406601094,1,1,77,107,0,0,1
1406601112,1,1,77,108,0,0,1
1406601129,1,1,77,108,0,0,1
1406601147,1,1,76,108,0,0,1
1406601164,1,1,76,108,0,0,1
1406601182,1,1,77,108,0,0,1
1406601200,1,1,77,108,0,0,1
1406601218,1,1,77,6,1,0,1
1406601236,1,1,77,107,0,0,1
1406601254,1,1,76,5,1,0,1
1406601273,1,1,77,108,0,0,0
1406601291,1,1,77,109,0,0,0
1406601308,1,1,76,108,0,0,0
1406601326,1,1,76,108,0,0,0
1406601344,1,1,76,108,0,0,0
1406601362,1,1,76,107,0,0,1
1406601379,1,1,76,108,0,0,1
1406601397,1,1,76,108,0,0,1
1406601414,1,1,76,108,0,0,1
1406601432,1,1,76,6,1,0,1
1406601450,1,1,76,6,1,0,1
1406601468,1,1,76,7,1,0,1
1406601485,1,1,76,6,1,0,1
1406601503,1,1,76,107,0,0,1
1406601521,1,1,76,108,0,0,1
1406601540,1,1,76,108,0,0,0
1406601557,1,1,76,107,0,0,0
1406601575,1,1,76,107,0,0,0
1406601592,1,1,76,108,0,0,0
1406601610,1,1,76,106,0,0,0
1406601628,1,1,76,108,0,0,0
1406601645,1,1,76,107,0,0,0
1406601663,1,1,76,108,0,0,0
1406601680,1,1,76,107,0,0,0
1406601698,1,1,76,108,0,0,0
1406601715,1,1,76,108,0,0,0
1406601733,1,1,75,108,0,0,0
1406601751,1,1,75,108,0,0,0
1406601768,1,1,75,108,0,0,0
1406601786,1,1,75,108,0,0,0
1406601803,1,1,75,108,0,0,0
1406601821,1,1,75,108,0,0,0
1406601838,1,1,75,108,0,0,0
1406601856,1,1,75,108,0,0,0
1406601873,1,1,75,108,0,0,0
1406601891,1,1,75,108,0,0,0
1406601909,1,1,75,107,0,0,0
1406601927,1,1,75,107,0,0,0
1406601945,1,1,75,108,0,0,0
1406601964,1,1,75,107,0,0,0
1406601981,1,1,75,108,0,0,0
1406601999,1,1,75,107,0,0,0
1406602016,1,1,75,107,0,0,0
1406602034,1,1,75,108,0,0,0
1406602052,1,1,75,108,0,0,0
1406602069,1,1,75,108,0,0,0
1406602087,1,1,75,109,0,0,0
1406602104,1,1,75,109,0,0,0
1406602122,1,1,75,108,0,0,0
1406602139,1,1,75,108,0,0,0
1406602157,1,1,75,107,0,0,0
1406602175,1,1,75,109,0,0,0
1406602192,1,1,75,108,0,0,0
1406602210,1,1,75,107,0,0,0
1406602227,1,1,75,107,0,0,0
1406602245,1,0,75,106,0,0,0
1406602262,1,0,75,108,0,0,0
1406602280,1,0,75,4,0,0,0
1406602297,1,1,75,109,0,0,0
1406602315,1,1,75,109,0,0,0
1406602333,1,1,75,109,0,0,0
1406602350,1,1,74,109,0,0,0
1406602368,1,1,74,109,0,0,0
1406602385,1,1,74,110,0,0,0
1406602403,1,1,74,108,0,0,0
1406602420,1,1,74,108,0,0,0
1406602438,1,1,74,108,0,0,0
1406602456,1,1,74,108,0,0,0
1406602473,1,1,74,109,0,0,0
1406602491,1,1,74,108,0,0,0
1406602508,1,1,74,108,0,0,0
1406602526,1,1,74,108,0,0,0
1406602543,1,1,74,108,0,0,0
1406602561,1,1,74,108,0,0,0
1406602579,1,1,74,106,0,0,0
1406602596,1,1,74,105,0,0,0
1406602614,1,1,74,106,0,0,0
1406602631,1,1,74,105,0,0,0
1406602649,1,1,74,105,0,0,0
1406602666,1,1,74,105,0,0,0
1406602684,1,1,74,105,0,0,0
1406602701,1,1,74,105,0,0,0
1406602719,1,1,74,105,0,0,0
1406602737,1,1,74,104,0,0,0
1406602754,1,1,74,104,0,0,0
1406602772,1,1,74,102,0,0,0
1406602789,1,1,74,105,0,0,0
1406602807,1,1,74,105,0,0,0
1406602824,1,1,74,104,0,0,0
1406602842,1,1,74,103,0,0,0
1406602860,1,1,74,104,0,0,0
1406602877,1,1,74,103,0,0,0
1406602895,1,1,74,104,0,0,0
1406602912,1,1,73,104,0,0,0
1406602930,1,1,74,104,0,0,0
1406602947,1,1,73,104,0,0,0
1406602965,1,1,73,105,0,0,0
1406602982,1,1,73,104,0,0,0
1406603000,1,1,73,104,0,0,0
1406603018,1,1,73,105,0,0,0
1406603035,1,1,73,104,0,0,0
1406603053,1,1,73,104,0,0,0
1406603070,1,1,73,105,0,0,0
1406603088,1,1,73,104,0,0,0
1406603105,1,1,73,104,0,0,0
1406603123,1,1,73,104,0,0,0
1406603141,1,1,73,105,0,0,0
1406603158,1,1,73,105,0,0,0
1406603176,1,1,73,105,0,0,0
1406603193,1,1,73,104,0,0,0
1406603211,1,1,73,104,0,0,0
1406603228,1,1,73,105,0,0,0
